player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
MW Short,Adelaide Strikers,254600,41,62,53,120,,,,,,
GJ Maxwell,Melbourne Stars,236300,,,40,60,17,,,,,
J Overton,Adelaide Strikers,225400,99,61,103,131,,,,,,
SPD Smith,Sydney Sixers,218400,,,,,,,,,,
XC Bartlett,Brisbane Heat,207000,90,50,9,50,,,,,,
AJ Hosein,Sydney Sixers,195900,,64,23,40,,,,,,
W Sutherland,Melbourne Renegades,191600,99,118,63,,,,,,,
Tim Seifert,Melbourne Renegades,184000,85,92,53,,,,,,,
AM Hardie,Perth Scorchers,177800,,,,24,,,,,,
MG Neser,Brisbane Heat,175400,,,,,,,,,,
JP Behrendorff,Perth Scorchers,175100,78,67,60,57,,,,,,
Lockie Ferguson,Sydney Thunder,171000,95,50,52,,,,,,,
AT Carey,Adelaide Strikers,167500,,,,,,,,,,
DR Sams,Sydney Thunder,166500,75,35,38,,,,,,,
BJ Dwarshuis,Sydney Sixers,162700,71,107,46,102,,,,,,
C Connolly,Perth Scorchers,161200,102,19,127,37,,,,,,
PI Walter,Brisbane Heat,159400,13,44,25,51,,,,,,
CA Lynn,Adelaide Strikers,157600,2,,24,19,,,,,,
J Edwards,Sydney Sixers,153800,75,65,12,,,,,,,
JM Bird,Sydney Sixers,152100,,,76,25,,,,,,
MR Marsh,Perth Scorchers,152000,,,,,,,,,,
NT Ellis,Hobart Hurricanes,151600,115,57,33,,,,,,,
TS Rogers,Melbourne Renegades,150900,39,78,111,,,,,,,
JA Richardson,Perth Scorchers,147200,103,7,,,,,,,,
TK Curran,Melbourne Stars,146900,100,4,30,39,,,,,,
CJ Green,Sydney Thunder,146100,106,0,32,,,,,,,
L Pope,Adelaide Strikers,145600,35,95,61,33,,,,,,
Ollie Pope,Adelaide Strikers,141700,,18,44,54,,,,,,
BM Duckett,Melbourne Stars,141600,,,10,123,87,,,,,
F O'Neill,Melbourne Renegades,140500,11,114,80,,,,,,,
MS Wade,Hobart Hurricanes,139200,5,,,,,,,,,
SA Abbott,Sydney Sixers,138000,61,41,,,,,,,,
LR Morris,Perth Scorchers,136600,51,3,,54,,,,,,
JP Inglis,Perth Scorchers,136200,,64,14,,,,,,,
AJ Tye,Perth Scorchers,133900,34,,46,71,,,,,,
DA Warner,Sydney Thunder,132600,17,37,29,,,,,,,
BJ Webster,Melbourne Stars,131800,19,47,3,,100,,,,,
DP Hughes,Sydney Sixers,131400,0,,,,,,,,,
Shai Hope,Hobart Hurricanes,131000,13,38,62,,,,,,,
TM Head,Adelaide Strikers,130000,,,,,,,,,,
JJ Peirson,Brisbane Heat,130000,97,18,11,34,,,,,,
M Labuschagne,Brisbane Heat,130000,,,,,,,,,,
UT Khawaja,Brisbane Heat,130000,,,,,,,,,,
M Wright,Hobart Hurricanes,126300,,,,,,,,,,
JM Vince,Sydney Sixers,125500,50,13,156,30,,,,,,
Usama Mir,Melbourne Stars,124600,,,,27,59,,,,,
T Sangha,Sydney Thunder,124400,66,25,,,,,,,,
AC Agar,Perth Scorchers,122500,40,32,50,101,,,,,,
JR Philippe,Sydney Sixers,122100,25,40,77,121,,,,,,
MC Henriques,Sydney Sixers,121900,98,17,11,29,,,,,,
SH Johnson,Brisbane Heat,121800,,,148,13,,,,,,
MP Kuhnemann,Brisbane Heat,121200,29,13,42,1,,,,,,
C Munro,Brisbane Heat,121100,,7,6,9,,,,,,
MP Stoinis,Melbourne Stars,121000,37,96,46,24,27,,,,,
NA McSweeney,Brisbane Heat,119600,,138,39,34,,,,,,
Sherfane Rutherford,Sydney Thunder,119300,3,8,2,,,,,,,
J Weatherald,Adelaide Strikers,118900,65,11,,,,,,,,
BR McDermott,Hobart Hurricanes,118600,20,15,103,,,,,,,
Jafer Chohan,Sydney Sixers,117500,,,,,,,,,,
Tom Alsop,Brisbane Heat,117500,,,,,,,,,,
DJM Short,Adelaide Strikers,116200,,85,1,66,,,,,,
Fabian Allen,Adelaide Strikers,115700,33,,,,,,,,,
HTRY Thornton,Adelaide Strikers,115700,52,56,50,4,,,,,,
CJ Jordan,Hobart Hurricanes,115400,0,11,63,,,,,,,
Hassan Khan,Melbourne Renegades,115000,30,,,,,,,,,
JM Clarke,Melbourne Stars,110600,10,42,,,,,,,,
Nikhil Chaudhary,Hobart Hurricanes,110100,2,1,43,,,,,,,
MJ Swepson,Brisbane Heat,109700,52,10,27,15,,,,,,
SW Billings,Sydney Thunder,108500,29,35,147,,,,,,,
LJ Evans,Melbourne Renegades,108000,11,17,44,,,,,,,
Finn Allen,Perth Scorchers,107900,6,4,0,20,,,,,,
CT Bancroft,Sydney Thunder,106200,6,100,31,,,,,,,
M Bryant,Brisbane Heat,106200,61,3,70,2,,,,,,
J Fraser-McGurk,Melbourne Renegades,105100,46,5,12,,,,,,,
RP Meredith,Hobart Hurricanes,103700,28,112,1,,,,,,,
H Kerr,Sydney Sixers,103500,30,,35,69,,,,,,
J Brown,Melbourne Renegades,103000,47,23,12,,,,,,,
CJ Boyce,Adelaide Strikers,103000,26,35,4,1,,,,,,
AF Milne,Melbourne Stars,102600,30,6,56,,,,,,,
Matthew Hurst,Perth Scorchers,101900,24,6,,38,,,,,,
M Kelly,Perth Scorchers,101600,,,48,49,,,,,,
Jacob Bethell,Melbourne Renegades,100700,,3,40,,,,,,,
WA Agar,Sydney Thunder,99700,,,102,,,,,,,
JC Silk,Sydney Sixers,98700,12,61,69,20,,,,,,
Keaton Jennings,Perth Scorchers,98700,14,40,9,,,,,,,
AI Ross,Adelaide Strikers,97300,37,55,40,8,,,,,,
