player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
MW Short,Adelaide Strikers,249100,41,62,53,120,,,,,,
J Overton,Adelaide Strikers,242000,99,61,103,131,3,68,,,,
SPD Smith,Sydney Sixers,218400,,,,,,,,,,
GJ Maxwell,Melbourne Stars,206200,,,40,60,17,40,,,,
W Sutherland,Melbourne Renegades,191600,99,118,63,42,24,,,,,
BJ Dwarshuis,Sydney Sixers,185000,71,107,46,102,19,,,,,
Tim Seifert,Melbourne Renegades,184000,85,92,53,19,4,,,,,
XC Bartlett,Brisbane Heat,182300,90,50,9,50,137,,,,,
AJ Hosein,Sydney Sixers,178400,,64,23,40,29,,,,,
Lockie Ferguson,Sydney Thunder,176900,95,50,52,10,,,,,,
JP Behrendorff,Perth Scorchers,176800,78,67,60,57,88,,,,,
MG Neser,Brisbane Heat,175400,,,,,,,,,,
AM Hardie,Perth Scorchers,169100,,,,24,2,,,,,
AT Carey,Adelaide Strikers,167500,,,,,,,,,,
C Connolly,Perth Scorchers,166100,102,19,127,37,60,,,,,
NT Ellis,Hobart Hurricanes,164400,115,57,33,,,,,,,
DR Sams,Sydney Thunder,161500,75,35,38,58,,,,,,
BM Duckett,Melbourne Stars,160600,,,10,123,87,0,,,,
L Pope,Adelaide Strikers,155900,35,95,61,33,0,47,,,,
J Edwards,Sydney Sixers,153000,75,65,12,,37,,,,,
MR Marsh,Perth Scorchers,152000,,,,,,,,,,
JM Bird,Sydney Sixers,151800,,,76,25,140,,,,,
TS Rogers,Melbourne Renegades,150900,39,78,111,66,64,,,,,
JR Philippe,Sydney Sixers,150400,25,40,77,121,36,,,,,
PI Walter,Brisbane Heat,149300,13,44,25,51,23,,,,,
JA Richardson,Perth Scorchers,147200,103,7,,,87,,,,,
CJ Green,Sydney Thunder,143700,106,0,32,61,,,,,,
JM Vince,Sydney Sixers,143300,50,13,156,30,21,,,,,
NA McSweeney,Brisbane Heat,141800,,138,39,34,9,,,,,
SH Johnson,Brisbane Heat,141800,,,148,13,51,,,,,
TK Curran,Melbourne Stars,140700,100,4,30,39,,,,,,
F O'Neill,Melbourne Renegades,140500,11,114,80,10,6,,,,,
MS Wade,Hobart Hurricanes,139200,5,,,35,,,,,,
SA Abbott,Sydney Sixers,138000,61,41,,,,,,,,
AJ Tye,Perth Scorchers,137800,34,,46,71,46,,,,,
AC Agar,Perth Scorchers,137100,40,32,50,101,12,,,,,
JP Inglis,Perth Scorchers,136200,,64,14,,,,,,,
Ollie Pope,Adelaide Strikers,135000,,18,44,54,1,47,,,,
