player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
A Zampa,Melbourne Renegades,88400,8,28,34,43,60,4,,,,
AC Agar,Perth Scorchers,138400,40,32,50,101,12,,,,,
AF Milne,Melbourne Stars,102600,30,6,56,,,,,,,
AI Ross,Adelaide Strikers,84000,37,55,40,8,30,6,72,,,
AJ Hosein,Sydney Sixers,155200,,64,23,40,29,,,,,
AJ Turner,Perth Scorchers,130300,47,59,50,57,63,0,,,,
AJ Tye,Perth Scorchers,142400,34,,46,71,46,27,,,,
AM Hardie,Perth Scorchers,146200,,,,24,2,10,,,,
AT Carey,Adelaide Strikers,167500,,,,,,,,,,
B Doggett,Adelaide Strikers,102200,,,,,103,75,5,,,
B Stanlake,Hobart Hurricanes,77500,26,21,33,63,25,,,,,
BAD Manenti,Sydney Sixers,58500,,,,,,,,,,
BJ Dwarshuis,Sydney Sixers,178600,71,107,46,102,19,,,,,
BJ Webster,Melbourne Stars,129600,19,47,3,,100,,,,,
BL Couch,Melbourne Stars,68600,28,1,,,12,,,,,
BM Duckett,Melbourne Stars,170800,,,10,123,87,0,87,,,
BR McDermott,Hobart Hurricanes,131100,20,15,103,44,17,,,,,
C Connolly,Perth Scorchers,169200,102,19,127,37,60,60,,,,
C Kellaway,Melbourne Stars,53900,,1,,,,,,,,
C Munro,Brisbane Heat,75600,,7,6,9,1,,,,,
CA Lynn,Adelaide Strikers,131200,2,,24,19,1,123,74,,,
CA Wakim,Hobart Hurricanes,39500,,,,,,,,,,
Callum Vidler,Brisbane Heat,39500,,,,,,,,,,
CJ Boyce,Adelaide Strikers,85200,26,35,4,1,42,40,63,,,
CJ Green,Sydney Thunder,129700,106,0,32,61,113,,,,,
CJ Jordan,Hobart Hurricanes,124000,0,11,63,114,28,,,,,
CP Jewell,Hobart Hurricanes,64500,,7,32,,,,,,,
CT Bancroft,Sydney Thunder,120900,6,100,31,18,0,,,,,
DA Warner,Sydney Thunder,133800,17,37,29,116,74,,,,,
DJM Short,Adelaide Strikers,123600,,85,1,66,23,37,4,,,
Doug Warren,Melbourne Stars,44600,,,,4,,,,,,
DP Hughes,Sydney Sixers,131400,0,,,,,,,,,
DR Sams,Sydney Thunder,152300,75,35,38,58,15,,,,,
F O'Neill,Melbourne Renegades,128000,11,114,80,10,6,,,,,
Fabian Allen,Adelaide Strikers,115700,33,,,,,,,,,
Finn Allen,Perth Scorchers,84200,6,4,0,20,85,113,,,,
GJ Maxwell,Melbourne Stars,182000,,,40,60,17,40,65,,,
GS Sandhu,Melbourne Renegades,94100,,,,,,79,,,,
H Kerr,Sydney Sixers,113700,30,,35,69,24,,,,,
H McKenzie,Melbourne Stars,68100,11,31,,,,,,,,
Harry Dixon,Melbourne Renegades,39500,,,,,,,,,,
Hassan Khan,Melbourne Renegades,115000,30,,,,,,,,,
HJ Nielsen,Adelaide Strikers,55600,,,,,,,,,,
HTRY Thornton,Adelaide Strikers,123200,52,56,50,4,47,106,27,,,
HWR Cartwright,Melbourne Stars,67200,18,15,14,15,27,1,49,,,
Iain Carlisle,Hobart Hurricanes,39500,,,,,,,,,,
J Brown,Melbourne Renegades,110900,47,23,12,27,101,6,,,,
J Edwards,Sydney Sixers,141700,75,65,12,,37,,,,,
J Fraser-McGurk,Melbourne Renegades,87700,46,5,12,26,1,12,,,,
J Merlo,Melbourne Stars,51600,,,,8,3,,,,,
J Overton,Adelaide Strikers,229500,99,61,103,131,3,68,60,,,
J Weatherald,Adelaide Strikers,96400,65,11,,,18,3,13,,,
JA Davies,Sydney Sixers,68800,49,9,,,,,,,,
JA Richardson,Perth Scorchers,157700,103,7,,,87,87,,,,
Jacob Bethell,Melbourne Renegades,101600,,3,40,2,67,111,,,,
Jafer Chohan,Sydney Sixers,117500,,,,,,,,,,
Jake Doran,Hobart Hurricanes,39500,,,,,,,,,,
JC Silk,Sydney Sixers,109300,12,61,69,20,20,,,,,
JD Wildermuth,Brisbane Heat,58500,,,,,,,,,,
JJ Bazley,Adelaide Strikers,71700,67,16,48,2,,11,18,,,
JJ Peirson,Brisbane Heat,113100,97,18,11,34,,,,,,
JJS Sangha,Sydney Thunder,82300,,,59,,,,,,,
JM Bird,Sydney Sixers,171900,,,76,25,140,,,,,
JM Clarke,Melbourne Stars,110600,10,42,,,,,,,,
JM Vince,Sydney Sixers,157200,50,13,156,30,21,,,,,
Jordan Buckingham,Adelaide Strikers,39500,,,,,,,,,,
JP Behrendorff,Perth Scorchers,183400,78,67,60,57,88,38,,,,
JP Inglis,Perth Scorchers,136200,,64,14,,,,,,,
JP Wood,Brisbane Heat,63900,42,,,,,,,,,
JR Philippe,Sydney Sixers,169100,25,40,77,121,36,,,,,
JS Paris,Melbourne Stars,85000,,,,,39,52,77,,,
JW Wells,Melbourne Renegades,78100,,,,,,60,,,,
Keaton Jennings,Perth Scorchers,98700,14,40,9,,,,,,,
KR Patterson,Sydney Sixers,79600,,,,67,9,,,,,
KW Richardson,Melbourne Renegades,84000,31,16,27,43,6,,,,,
L Pope,Adelaide Strikers,135600,35,95,61,33,0,47,43,,,
LC Hatcher,Sydney Thunder,64100,,,,,,,,,,
Liam Scott,Adelaide Strikers,52300,,8,40,26,0,,,,,
LJ Evans,Melbourne Renegades,114600,11,17,44,70,26,49,,,,
Lockie Ferguson,Sydney Thunder,159000,95,50,52,10,8,,,,,
LR Morris,Perth Scorchers,128100,51,3,,54,74,98,,,,
M Bryant,Brisbane Heat,118000,61,3,70,2,112,,,,,
M Gilkes,Sydney Thunder,58900,,,,23,43,,,,,
M Kelly,Perth Scorchers,108600,,,48,49,,21,,,,
M Labuschagne,Brisbane Heat,130000,,,,,,,,,,
M Wright,Hobart Hurricanes,126300,,,,,,,,,,
Mahli Beardman,Perth Scorchers,39500,,,,,,,,,,
Matthew Hurst,Perth Scorchers,88200,24,6,,38,33,38,,,,
Matthew Spoors,Perth Scorchers,60900,,,30,,,1,,,,
MC Henriques,Sydney Sixers,96200,98,17,11,29,32,,,,,
MG Neser,Brisbane Heat,175400,,,,,,,,,,
Mitchell Perry,Sydney Sixers,39500,,,,,,,,,,
MJ Owen,Hobart Hurricanes,147500,20,151,28,68,72,,,,,
MJ Swepson,Brisbane Heat,81100,52,10,27,15,0,,,,,
MP Kuhnemann,Brisbane Heat,89000,29,13,42,1,2,,,,,
MP Stoinis,Melbourne Stars,121300,37,96,46,24,27,96,59,,,
MR Marsh,Perth Scorchers,152000,,,,,,,,,,
MS Harris,Melbourne Renegades,58500,,,,,,,,,,
MS Wade,Hobart Hurricanes,124900,5,,,35,57,,,,,
MT Renshaw,Brisbane Heat,100000,18,89,66,11,19,,,,,
MT Steketee,Melbourne Stars,83500,,,,,,47,34,,,
MW Harvey,Melbourne Renegades,58600,11,10,49,9,6,,,,,
MW Short,Adelaide Strikers,249100,41,62,53,120,,,,,,
N McAndrew,Sydney Thunder,83300,3,20,,,,,,,,
NA McSweeney,Brisbane Heat,125600,,138,39,34,9,,,,,
Nikhil Chaudhary,Hobart Hurricanes,105100,2,1,43,100,36,,,,,
NJ Maddinson,Sydney Thunder,58500,,,,,,,,,,
NM Lyon,Melbourne Renegades,58500,,,,,,,,,,
NR Hobson,Perth Scorchers,82100,62,1,8,92,0,36,,,,
NT Ellis,Hobart Hurricanes,164400,115,57,33,,20,,,,,
O Davies,Sydney Thunder,80200,28,57,0,10,3,,,,,
Ollie Pope,Adelaide Strikers,125500,,18,44,54,1,47,68,,,
P Hatzoglou,Hobart Hurricanes,79700,,,,56,,,,,,
PG Dooley,Hobart Hurricanes,88000,,,,,,,,,,
PI Walter,Brisbane Heat,135300,13,44,25,51,23,,,,,
PM Siddle,Melbourne Stars,98100,25,,77,18,48,33,49,,,
Rishad Hossain,Hobart Hurricanes,85000,,,,,,,,,,
RP Meredith,Hobart Hurricanes,126600,28,112,1,62,38,,,,,
Ryan Hadley,Sydney Thunder,39500,,,,,,,,,,
S Fanning,Perth Scorchers,39500,,,,,,,,,,
SA Abbott,Sydney Sixers,138000,61,41,,,,,,,,
Sam Konstas,Sydney Thunder,75600,101,0,,,,,,,,
SB Harper,Melbourne Stars,74300,11,61,58,12,14,28,41,,,
SH Johnson,Brisbane Heat,157800,,,148,13,51,,,,,
Shai Hope,Hobart Hurricanes,119300,13,38,62,4,11,,,,,
Sherfane Rutherford,Sydney Thunder,74200,3,8,2,11,75,,,,,
SM Boland,Melbourne Stars,84700,,,,,,,,,,
