player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
TS Rogers,Melbourne Renegades,175800,39,78,111,66,64,29,119,52,,
JP Behrendorff,Perth Scorchers,187500,78,67,60,57,88,38,99,45,,
GJ Maxwell,Melbourne Stars,173800,,,40,60,17,40,65,113,135,
MW Short,Adelaide Strikers,249100,41,62,53,120,,,,164,,
SPD Smith,Sydney Sixers,218400,,,,,,,,166,,
LR Morris,Perth Scorchers,168200,51,3,,54,74,98,66,,,
C Connolly,Perth Scorchers,156800,102,19,127,37,60,60,2,74,,
JA Richardson,Perth Scorchers,156600,103,7,,,87,87,71,5,,
J Overton,Adelaide Strikers,201200,99,61,103,131,3,68,60,37,,
AT Carey,Adelaide Strikers,167500,,,,,,,,13,,
MJ Owen,Hobart Hurricanes,149600,20,151,28,68,72,13,,,,
JM Vince,Sydney Sixers,172400,50,13,156,30,21,,78,,,
JR Philippe,Sydney Sixers,172300,25,40,77,121,36,,18,39,,
BM Duckett,Melbourne Stars,168100,,,10,123,87,0,87,45,81,
MP Stoinis,Melbourne Stars,147200,37,96,46,24,27,96,59,57,19,
TK Curran,Melbourne Stars,140700,100,4,30,39,,,,,,
NT Ellis,Hobart Hurricanes,148000,115,57,33,,20,10,,,,
AC Agar,Perth Scorchers,151600,40,32,50,101,12,,90,50,,
BJ Webster,Melbourne Stars,135100,19,47,3,,100,,,59,37,
SH Johnson,Brisbane Heat,175300,,,148,13,51,,81,57,,
CA Lynn,Adelaide Strikers,144800,2,,24,19,1,123,74,72,,
CJ Jordan,Hobart Hurricanes,141200,0,11,63,114,28,48,,,,
MG Neser,Brisbane Heat,175000,,,,,,,68,22,,
HTRY Thornton,Adelaide Strikers,134500,52,56,50,4,47,106,27,,,
DA Warner,Sydney Thunder,175400,17,37,29,116,74,70,108,,,
BR McDermott,Hobart Hurricanes,136500,20,15,103,44,17,0,,,,
M Wright,Hobart Hurricanes,126300,,,,,,,,,,
CJ Green,Sydney Thunder,152400,106,0,32,61,113,10,32,,,
WA Agar,Sydney Thunder,149700,,,102,104,4,24,25,,,
TM Head,Adelaide Strikers,130000,,,,,,,,,,
Usama Mir,Melbourne Stars,130600,,,,27,59,43,35,90,14,
JM Bird,Sydney Sixers,171900,,,76,25,140,,,,,
DR Sams,Sydney Thunder,139300,75,35,38,58,15,,,,,
W Sutherland,Melbourne Renegades,157700,99,118,63,42,24,16,166,48,,
L Pope,Adelaide Strikers,121900,35,95,61,33,0,47,43,44,,
Finn Allen,Perth Scorchers,144900,6,4,0,20,85,113,49,15,,
JM Clarke,Melbourne Stars,110600,10,42,,,,,,,,
F O'Neill,Melbourne Renegades,128000,11,114,80,10,6,,,90,,
BJ Dwarshuis,Sydney Sixers,161100,71,107,46,102,19,,13,75,,
PM Siddle,Melbourne Stars,108700,25,,77,18,48,33,49,61,76,
Jacob Bethell,Melbourne Renegades,122300,,3,40,2,67,111,3,25,,
Hassan Khan,Melbourne Renegades,115000,30,,,,,,,,,
Ollie Pope,Adelaide Strikers,120800,,18,44,54,1,47,68,6,,
B Doggett,Adelaide Strikers,119800,,,,,103,75,5,16,,
MT Steketee,Melbourne Stars,108300,,,,,,47,34,97,140,
Nikhil Chaudhary,Hobart Hurricanes,121000,2,1,43,100,36,55,,,,
J Brown,Melbourne Renegades,114400,47,23,12,27,101,6,,14,,
SA Abbott,Sydney Sixers,150800,61,41,,,,,99,94,,
LJ Evans,Melbourne Renegades,113900,11,17,44,70,26,49,0,,,
JS Paris,Melbourne Stars,108200,,,,,39,52,77,2,113,
Fabian Allen,Adelaide Strikers,115700,33,,,,,,,,,
DJM Short,Adelaide Strikers,106800,,85,1,66,23,37,4,155,,
DP Hughes,Sydney Sixers,131400,0,,,,,,,,,
AJ Tye,Perth Scorchers,139900,34,,46,71,46,27,,2,,
GS Sandhu,Melbourne Renegades,109200,,,,,,79,19,,,
J Edwards,Sydney Sixers,128300,75,65,12,,37,,48,4,,
RP Meredith,Hobart Hurricanes,117900,28,112,1,62,38,53,,,,
AJ Hosein,Sydney Sixers,125500,,64,23,40,29,,5,,,
XC Bartlett,Brisbane Heat,174300,90,50,9,50,137,,25,14,,
CJ Boyce,Adelaide Strikers,98000,26,35,4,1,42,40,63,,,
M Bryant,Brisbane Heat,148200,61,3,70,2,112,,107,18,,
SW Billings,Sydney Thunder,137300,29,35,147,40,13,20,63,,,
H Kerr,Sydney Sixers,125200,30,,35,69,24,,80,23,,
AF Milne,Melbourne Stars,102600,30,6,56,,,,,,,
Jafer Chohan,Sydney Sixers,117500,,,,,,,,,,
AI Ross,Adelaide Strikers,88200,37,55,40,8,30,6,72,79,,
MR Marsh,Perth Scorchers,137300,,,,,,,0,,,
JP Inglis,Perth Scorchers,136200,,64,14,,,,,,,
PI Walter,Brisbane Heat,135300,13,44,25,51,23,,,,,
JC Silk,Sydney Sixers,100900,12,61,69,20,20,,11,10,,
SM Boland,Melbourne Stars,84700,,,,,,,,,,
A Zampa,Melbourne Renegades,107000,8,28,34,43,60,4,87,60,,
AJ Turner,Perth Scorchers,109900,47,59,50,57,63,0,8,101,,
T Murphy,Sydney Sixers,99700,4,1,77,55,16,,2,1,,
Tim Seifert,Melbourne Renegades,104000,85,92,53,19,4,27,35,46,,
J Weatherald,Adelaide Strikers,79400,65,11,,,18,3,13,,,
Lockie Ferguson,Sydney Thunder,124500,95,50,52,10,8,86,,,,
T Kelly,Adelaide Strikers,61400,,,,,,,,,,
JW Wells,Melbourne Renegades,84400,,,,,,60,0,,,
T Sangha,Sydney Thunder,124400,66,25,,,,,,,,
Keaton Jennings,Perth Scorchers,98700,14,40,9,,,,,,,
M Labuschagne,Brisbane Heat,130000,,,,,,,,,,
CT Bancroft,Sydney Thunder,101100,6,100,31,18,0,,,,,
M Kelly,Perth Scorchers,98700,,,48,49,,21,5,,,
UT Khawaja,Brisbane Heat,130000,,,,,,,,,,
MS Wade,Hobart Hurricanes,115700,5,,,35,57,33,,,,
AM Hardie,Perth Scorchers,97400,,,,24,2,10,34,0,,
Matthew Hurst,Perth Scorchers,91500,24,6,,38,33,38,,,,
NR Hobson,Perth Scorchers,79400,62,1,8,92,0,36,12,12,,
MC Henriques,Sydney Sixers,86300,98,17,11,29,32,,23,112,,
Tom Alsop,Brisbane Heat,115600,,,,,,,39,10,,
KR Patterson,Sydney Sixers,81600,,,,67,9,,18,12,,
Shai Hope,Hobart Hurricanes,106700,13,38,62,4,11,,,,,
JJ Peirson,Brisbane Heat,113100,97,18,11,34,,,,,,
NA McSweeney,Brisbane Heat,106600,,138,39,34,9,,17,68,,
SB Harper,Melbourne Stars,70700,11,61,58,12,14,28,41,4,0,
Matthew Spoors,Perth Scorchers,57500,,,30,,,1,,54,,
KW Richardson,Melbourne Renegades,83000,31,16,27,43,6,,37,78,,
Waqar Salamkheil,Hobart Hurricanes,92200,0,25,23,51,43,,,,,
MT Renshaw,Brisbane Heat,104300,18,89,66,11,19,,63,59,,
BL Couch,Melbourne Stars,68600,28,1,,,12,,,,,
NM Lyon,Melbourne Renegades,58500,,,,,,,,,,
JJ Bazley,Adelaide Strikers,60400,67,16,48,2,,11,18,,,
N McAndrew,Sydney Thunder,83300,3,20,,,,,,,,
MP Kuhnemann,Brisbane Heat,83200,29,13,42,1,2,,57,83,,
TH David,Hobart Hurricanes,90100,0,0,68,14,97,103,,,,
JJS Sangha,Sydney Thunder,82300,,,59,,,,,,,
J Fraser-McGurk,Melbourne Renegades,58300,46,5,12,26,1,12,0,19,,
Mahli Beardman,Perth Scorchers,39500,,,,,,,,,,
PG Dooley,Hobart Hurricanes,88000,,,,,,,,,,
Sherfane Rutherford,Sydney Thunder,79800,3,8,2,11,75,11,,,,
HJ Nielsen,Adelaide Strikers,55600,,,,,,,,,,
B Stanlake,Hobart Hurricanes,86500,26,21,33,63,25,43,,,,
Rishad Hossain,Hobart Hurricanes,85000,,,,,,,,,,
MJ Swepson,Brisbane Heat,66900,52,10,27,15,0,,14,46,,
H McKenzie,Melbourne Stars,68100,11,31,,,,,,,,
P Hatzoglou,Hobart Hurricanes,79700,,,,56,,14,,,,
CP Jewell,Hobart Hurricanes,64500,,7,32,,,,,,,
Sam Konstas,Sydney Thunder,75600,101,0,,,,,14,,,
S Fanning,Perth Scorchers,39500,,,,,,,,66,,
JA Davies,Sydney Sixers,68800,49,9,,,,,,9,,
M Gilkes,Sydney Thunder,74400,,,,23,43,45,9,,,
HWR Cartwright,Melbourne Stars,61600,18,15,14,15,27,1,49,2,16,
JP Wood,Brisbane Heat,63200,42,,,,,,2,34,,
CA Wakim,Hobart Hurricanes,39500,,,,,,36,,,,
Tom Andrews,Sydney Thunder,74100,,,36,29,37,44,51,,,
C Kellaway,Melbourne Stars,53900,,1,,,,,,,,
BAD Manenti,Sydney Sixers,58500,,,,,,,,,,
LC Hatcher,Sydney Thunder,64100,,,,,,,,,,
Liam Scott,Adelaide Strikers,52300,,8,40,26,0,,,,,
Mitchell Perry,Sydney Sixers,39500,,,,,,,,,,
NJ Maddinson,Sydney Thunder,58500,,,,,,,,,,
J Merlo,Melbourne Stars,51600,,,,8,3,,,,,
Iain Carlisle,Hobart Hurricanes,39500,,,,,,,,,,
MS Harris,Melbourne Renegades,58000,,,,,,,21,1,,
Doug Warren,Melbourne Stars,44600,,,,4,,,,,,
Jordan Buckingham,Adelaide Strikers,39500,,,,,,,,38,,
W Prestwidge,Brisbane Heat,62400,12,44,,,14,,,,,
O Davies,Sydney Thunder,54100,28,57,0,10,3,20,17,,,
MW Harvey,Melbourne Renegades,58000,11,10,49,9,6,,,,,
TF Rogers,Melbourne Stars,39500,24,1,2,12,,6,1,,10,
C Munro,Brisbane Heat,59100,,7,6,9,1,,23,0,,
JD Wildermuth,Brisbane Heat,58500,,,,,,,,,,
Harry Dixon,Melbourne Renegades,39500,,,,,,,,33,,
Ryan Hadley,Sydney Thunder,39500,,,,,,,,,,
Jake Doran,Hobart Hurricanes,39500,,,,,,,,,,
Will Salzmann,Sydney Thunder,39500,,,,,,,,,,
Xavier Crone,Melbourne Renegades,39500,,,,,,1,,,,
Callum Vidler,Brisbane Heat,39500,,,,,,,,,,
