player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
MW Short,Adelaide Strikers,288700,41,62,53,,,,,,,
J Overton,Adelaide Strikers,214600,99,61,103,,,,,,,
CA Lynn,Adelaide Strikers,181700,2,,24,,,,,,,
AT Carey,Adelaide Strikers,167500,,,,,,,,,,
Ollie Pope,Adelaide Strikers,152000,,18,44,,,,,,,
L Pope,Adelaide Strikers,131700,35,95,61,,,,,,,
TM Head,Adelaide Strikers,130000,,,,,,,,,,
J Weatherald,Adelaide Strikers,120400,65,11,,,,,,,,
CJ Boyce,Adelaide Strikers,116100,26,35,4,,,,,,,
Fabian Allen,Adelaide Strikers,115700,33,,,,,,,,,
DJM Short,Adelaide Strikers,114200,,85,1,,,,,,,
HTRY Thornton,Adelaide Strikers,102600,52,56,50,,,,,,,
AI Ross,Adelaide Strikers,86500,37,55,40,,,,,,,
B Doggett,Adelaide Strikers,71000,,,,,,,,,,
JJ Bazley,Adelaide Strikers,70000,67,16,48,,,,,,,
T Kelly,Adelaide Strikers,61400,,,,,,,,,,
HJ Nielsen,Adelaide Strikers,55600,,,,,,,,,,
Jordan Buckingham,Adelaide Strikers,39500,,,,,,,,,,
XC Bartlett,Brisbane Heat,207400,90,50,,,,,,,,
MG Neser,Brisbane Heat,175400,,,,,,,,,,
PI Walter,Brisbane Heat,174700,13,44,,,,,,,,
MP Kuhnemann,Brisbane Heat,133300,29,13,,,,,,,,
C Munro,Brisbane Heat,130400,,7,,,,,,,,
M Labuschagne,Brisbane Heat,130000,,,,,,,,,,
UT Khawaja,Brisbane Heat,130000,,,,,,,,,,
JJ Peirson,Brisbane Heat,122300,97,18,,,,,,,,
SH Johnson,Brisbane Heat,121800,,,,,,,,,,
Tom Alsop,Brisbane Heat,117500,,,,,,,,,,
MJ Swepson,Brisbane Heat,113500,52,10,,,,,,,,
M Bryant,Brisbane Heat,108700,61,3,,,,,,,,
NA McSweeney,Brisbane Heat,93500,,138,,,,,,,,
MT Renshaw,Brisbane Heat,67400,18,89,,,,,,,,
JP Wood,Brisbane Heat,63900,42,,,,,,,,,
JD Wildermuth,Brisbane Heat,58500,,,,,,,,,,
W Prestwidge,Brisbane Heat,56600,12,44,,,,,,,,
Callum Vidler,Brisbane Heat,39500,,,,,,,,,,
CA Wakim,Hobart Hurricanes,39500,,,,,,,,,,
Iain Carlisle,Hobart Hurricanes,39500,,,,,,,,,,
Jake Doran,Hobart Hurricanes,39500,,,,,,,,,,
MJ Owen,Hobart Hurricanes,58400,20,151,,,,,,,,
B Stanlake,Hobart Hurricanes,59900,26,21,,,,,,,,
TH David,Hobart Hurricanes,66300,0,0,,,,,,,,
CP Jewell,Hobart Hurricanes,70000,,7,,,,,,,,
P Hatzoglou,Hobart Hurricanes,72600,,,,,,,,,,
RP Meredith,Hobart Hurricanes,83200,28,112,,,,,,,,
Rishad Hossain,Hobart Hurricanes,85000,,,,,,,,,,
PG Dooley,Hobart Hurricanes,88000,,,,,,,,,,
Waqar Salamkheil,Hobart Hurricanes,107600,0,25,,,,,,,,
M Wright,Hobart Hurricanes,126300,,,,,,,,,,
Nikhil Chaudhary,Hobart Hurricanes,131300,2,1,,,,,,,,
NT Ellis,Hobart Hurricanes,131300,115,57,,,,,,,,
BR McDermott,Hobart Hurricanes,132100,20,15,,,,,,,,
CJ Jordan,Hobart Hurricanes,135300,0,11,,,,,,,,
MS Wade,Hobart Hurricanes,139200,5,,,,,,,,,
Shai Hope,Hobart Hurricanes,142400,13,38,,,,,,,,
Tim Seifert,Melbourne Renegades,170100,85,92,53,,,,,,,
W Sutherland,Melbourne Renegades,163800,99,118,63,,,,,,,
TS Rogers,Melbourne Renegades,126600,39,78,111,,,,,,,
LJ Evans,Melbourne Renegades,120500,11,17,44,,,,,,,
F O'Neill,Melbourne Renegades,120300,11,114,80,,,,,,,
J Fraser-McGurk,Melbourne Renegades,119600,46,5,12,,,,,,,
Hassan Khan,Melbourne Renegades,115000,30,,,,,,,,,
J Brown,Melbourne Renegades,110600,47,23,12,,,,,,,
Jacob Bethell,Melbourne Renegades,108300,,3,40,,,,,,,
GS Sandhu,Melbourne Renegades,94100,,,,,,,,,,
KW Richardson,Melbourne Renegades,93100,31,16,27,,,,,,,
JW Wells,Melbourne Renegades,78100,,,,,,,,,,
A Zampa,Melbourne Renegades,75500,8,28,34,,,,,,,
MS Harris,Melbourne Renegades,58500,,,,,,,,,,
NM Lyon,Melbourne Renegades,58500,,,,,,,,,,
MW Harvey,Melbourne Renegades,53900,11,10,49,,,,,,,
Harry Dixon,Melbourne Renegades,39500,,,,,,,,,,
Xavier Crone,Melbourne Renegades,39500,,,,,,,,,,
Doug Warren,Melbourne Stars,39500,,,,,,,,,,
C Kellaway,Melbourne Stars,53900,,1,,,,,,,,
J Merlo,Melbourne Stars,58500,,,,,,,,,,
SB Harper,Melbourne Stars,66400,11,61,58,,,,,,,
H McKenzie,Melbourne Stars,68100,11,31,,,,,,,,
JS Paris,Melbourne Stars,72200,,,,,,,,,,
PM Siddle,Melbourne Stars,72400,25,,77,,,,,,,
BL Couch,Melbourne Stars,77900,28,1,,,,,,,,
MT Steketee,Melbourne Stars,79100,,,,,,,,,,
TF Rogers,Melbourne Stars,79100,24,1,2,,,,,,,
SM Boland,Melbourne Stars,84700,,,,,,,,,,
HWR Cartwright,Melbourne Stars,95200,18,15,14,,,,,,,
MP Stoinis,Melbourne Stars,102800,37,96,46,,,,,,,
AF Milne,Melbourne Stars,106700,30,6,56,,,,,,,
JM Clarke,Melbourne Stars,110600,10,42,,,,,,,,
Usama Mir,Melbourne Stars,124600,,,,,,,,,,
BM Duckett,Melbourne Stars,152000,,,10,,,,,,,
TK Curran,Melbourne Stars,152200,100,4,30,,,,,,,
BJ Webster,Melbourne Stars,153400,19,47,3,,,,,,,
GJ Maxwell,Melbourne Stars,247400,,,40,,,,,,,
AM Hardie,Perth Scorchers,177800,,,,,,,,,,
JP Behrendorff,Perth Scorchers,166500,78,67,60,,,,,,,
MR Marsh,Perth Scorchers,152000,,,,,,,,,,
LR Morris,Perth Scorchers,148200,51,3,,,,,,,,
JA Richardson,Perth Scorchers,144400,103,7,,,,,,,,
Finn Allen,Perth Scorchers,140700,6,4,0,,,,,,,
