player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
MW Short,Adelaide Strikers,304200,41,,,,,,,,,
GJ Maxwell,Melbourne Stars,247400,,,,,,,,,,
SPD Smith,Sydney Sixers,218400,,,,,,,,,,
J Overton,Adelaide Strikers,207700,99,,,,,,,,,
XC Bartlett,Brisbane Heat,202300,90,,,,,,,,,
CA Lynn,Adelaide Strikers,197900,2,,,,,,,,,
AJ Hosein,Sydney Sixers,196700,,,,,,,,,,
PI Walter,Brisbane Heat,187200,13,,,,,,,,,
AM Hardie,Perth Scorchers,177800,,,,,,,,,,
MG Neser,Brisbane Heat,175400,,,,,,,,,,
AT Carey,Adelaide Strikers,167500,,,,,,,,,,
BJ Webster,Melbourne Stars,164000,19,47,,,,,,,,
DR Sams,Sydney Thunder,162800,75,,,,,,,,,
JP Behrendorff,Perth Scorchers,160800,78,,,,,,,,,
JM Bird,Sydney Sixers,152100,,,,,,,,,,
Finn Allen,Perth Scorchers,152000,6,,,,,,,,,
TK Curran,Melbourne Stars,152000,100,4,,,,,,,,
BM Duckett,Melbourne Stars,152000,,,,,,,,,,
Lockie Ferguson,Sydney Thunder,152000,95,,,,,,,,,
Shai Hope,Hobart Hurricanes,152000,13,,,,,,,,,
MR Marsh,Perth Scorchers,152000,,,,,,,,,,
Ollie Pope,Adelaide Strikers,152000,,,,,,,,,,
Sherfane Rutherford,Sydney Thunder,152000,3,,,,,,,,,
Tim Seifert,Melbourne Renegades,152000,85,92,,,,,,,,
DA Warner,Sydney Thunder,152000,17,,,,,,,,,
MS Wade,Hobart Hurricanes,150600,5,,,,,,,,,
LR Morris,Perth Scorchers,148100,51,,,,,,,,,
CJ Jordan,Hobart Hurricanes,147700,0,,,,,,,,,
DP Hughes,Sydney Sixers,143500,0,,,,,,,,,
Nikhil Chaudhary,Hobart Hurricanes,142800,2,,,,,,,,,
AJ Tye,Perth Scorchers,140800,34,,,,,,,,,
JP Inglis,Perth Scorchers,140600,,,,,,,,,,
BR McDermott,Hobart Hurricanes,138800,20,,,,,,,,,
MP Kuhnemann,Brisbane Heat,137700,29,,,,,,,,,
BJ Dwarshuis,Sydney Sixers,136900,71,,,,,,,,,
J Edwards,Sydney Sixers,136500,75,,,,,,,,,
LJ Evans,Melbourne Renegades,136500,11,17,,,,,,,,
L Pope,Adelaide Strikers,134400,35,,,,,,,,,
JR Philippe,Sydney Sixers,132600,25,,,,,,,,,
W Sutherland,Melbourne Renegades,132600,99,118,,,,,,,,
SA Abbott,Sydney Sixers,131800,61,,,,,,,,,
JM Vince,Sydney Sixers,130900,50,,,,,,,,,
C Munro,Brisbane Heat,130400,,,,,,,,,,
TM Head,Adelaide Strikers,130000,,,,,,,,,,
UT Khawaja,Brisbane Heat,130000,,,,,,,,,,
M Labuschagne,Brisbane Heat,130000,,,,,,,,,,
JA Richardson,Perth Scorchers,130000,103,,,,,,,,,
CJ Green,Sydney Thunder,129000,106,,,,,,,,,
J Fraser-McGurk,Melbourne Renegades,128600,46,5,,,,,,,,
M Wright,Hobart Hurricanes,126300,,,,,,,,,,
Usama Mir,Melbourne Stars,124600,,,,,,,,,,
AC Agar,Perth Scorchers,124100,40,,,,,,,,,
SH Johnson,Brisbane Heat,121800,,,,,,,,,,
CJ Boyce,Adelaide Strikers,119800,26,,,,,,,,,
C Connolly,Perth Scorchers,118700,102,,,,,,,,,
Fabian Allen,Adelaide Strikers,117500,33,,,,,,,,,
Tom Alsop,Brisbane Heat,117500,,,,,,,,,,
Jacob Bethell,Melbourne Renegades,117500,,3,,,,,,,,
Jafer Chohan,Sydney Sixers,117500,,,,,,,,,,
JM Clarke,Melbourne Stars,117500,10,42,,,,,,,,
Matthew Hurst,Perth Scorchers,117500,24,,,,,,,,,
Keaton Jennings,Perth Scorchers,117500,14,,,,,,,,,
Hassan Khan,Melbourne Renegades,117500,30,,,,,,,,,
AF Milne,Melbourne Stars,117500,30,6,,,,,,,,
TS Rogers,Melbourne Renegades,117500,39,78,,,,,,,,
Waqar Salamkheil,Hobart Hurricanes,117500,0,,,,,,,,,
T Sangha,Sydney Thunder,116200,66,,,,,,,,,
DJM Short,Adelaide Strikers,114200,,,,,,,,,,
J Weatherald,Adelaide Strikers,114000,65,,,,,,,,,
SW Billings,Sydney Thunder,113900,29,,,,,,,,,
NT Ellis,Hobart Hurricanes,112500,115,,,,,,,,,
J Brown,Melbourne Renegades,112200,47,23,,,,,,,,
MJ Swepson,Brisbane Heat,110000,52,,,,,,,,,
F O'Neill,Melbourne Renegades,107500,11,114,,,,,,,,
JJ Peirson,Brisbane Heat,107500,97,,,,,,,,,
H Kerr,Sydney Sixers,105000,30,,,,,,,,,
HWR Cartwright,Melbourne Stars,104600,18,15,,,,,,,,
CT Bancroft,Sydney Thunder,103400,6,,,,,,,,,
JC Silk,Sydney Sixers,102700,12,,,,,,,,,
M Bryant,Brisbane Heat,102300,61,,,,,,,,,
N McAndrew,Sydney Thunder,101100,3,,,,,,,,,
WA Agar,Sydney Thunder,99700,,,,,,,,,,
M Kelly,Perth Scorchers,98100,,,,,,,,,,
HTRY Thornton,Adelaide Strikers,98100,52,,,,,,,,,
KW Richardson,Melbourne Renegades,97900,31,16,,,,,,,,
MC Henriques,Sydney Sixers,96500,98,,,,,,,,,
GS Sandhu,Melbourne Renegades,94100,,,,,,,,,,
NA McSweeney,Brisbane Heat,93500,,,,,,,,,,
PG Dooley,Hobart Hurricanes,88000,,,,,,,,,,
TF Rogers,Melbourne Stars,87700,24,1,,,,,,,,
