player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
TS Rogers,Melbourne Renegades,177000,39,78,111,66,64,29,119,52,42,
JP Behrendorff,Perth Scorchers,181200,78,67,60,57,88,38,99,45,49,
AF Milne,Melbourne Stars,102600,30,6,56,,,,,,,
MW Short,Adelaide Strikers,258300,41,62,53,120,,,,164,16,
SPD Smith,Sydney Sixers,235600,,,,,,,,166,87,
LR Morris,Perth Scorchers,168200,51,3,,54,74,98,66,,78,
JA Richardson,Perth Scorchers,154000,103,7,,,87,87,71,5,,
C Connolly,Perth Scorchers,151500,102,19,127,37,60,60,2,74,62,
J Overton,Adelaide Strikers,171500,99,61,103,131,3,68,60,37,102,
CA Lynn,Adelaide Strikers,159300,2,,24,19,1,123,74,72,,
CJ Jordan,Hobart Hurricanes,149200,0,11,63,114,28,,48,,,
JM Vince,Sydney Sixers,172400,50,13,156,30,21,,78,,,
JM Bird,Sydney Sixers,171900,,,76,25,140,,,,,
BJ Webster,Melbourne Stars,146200,19,47,3,,100,,,59,37,
BL Couch,Melbourne Stars,68600,28,1,,,12,,,,,
BM Duckett,Melbourne Stars,174400,,,10,123,87,0,87,45,81,
MJ Owen,Hobart Hurricanes,146500,20,151,28,68,72,,13,114,105,
Finn Allen,Perth Scorchers,148700,6,4,0,20,85,113,49,15,19,
C Kellaway,Melbourne Stars,53900,,1,,,,,,,,
SH Johnson,Brisbane Heat,174000,,,148,13,51,,81,57,93,
AT Carey,Adelaide Strikers,153100,,,,,,,,13,18,
Nikhil Chaudhary,Hobart Hurricanes,134700,2,1,43,100,36,,55,67,55,
XC Bartlett,Brisbane Heat,170100,90,50,9,50,137,,25,14,26,
HTRY Thornton,Adelaide Strikers,134500,52,56,50,4,47,106,27,,34,
DA Warner,Sydney Thunder,189200,17,37,29,116,74,70,,108,18,
M Wright,Hobart Hurricanes,126300,,,,,,,,,,
NT Ellis,Hobart Hurricanes,123600,115,57,33,,20,,10,57,86,
CJ Green,Sydney Thunder,149000,106,0,32,61,113,10,,32,154,
DR Sams,Sydney Thunder,139300,75,35,38,58,15,,,,,
TM Head,Adelaide Strikers,130000,,,,,,,,,,
Doug Warren,Melbourne Stars,44600,,,,4,,,,,,
SA Abbott,Sydney Sixers,166800,61,41,,,,,99,94,8,
Lockie Ferguson,Sydney Thunder,124500,95,50,52,10,8,86,,,,
W Sutherland,Melbourne Renegades,170900,99,118,63,42,24,16,166,48,41,
B Doggett,Adelaide Strikers,125900,,,,,103,75,5,16,24,
AC Agar,Perth Scorchers,147700,40,32,50,101,12,,90,50,62,
GJ Maxwell,Melbourne Stars,202700,,,40,60,17,40,65,113,135,
Jacob Bethell,Melbourne Renegades,123000,,3,40,2,67,111,3,25,170,
JR Philippe,Sydney Sixers,148600,25,40,77,121,36,,18,39,18,
H McKenzie,Melbourne Stars,68100,11,31,,,,,,,,
F O'Neill,Melbourne Renegades,119300,11,114,80,10,6,,,90,40,
Hassan Khan,Melbourne Renegades,115000,30,,,,,,,,,
DJM Short,Adelaide Strikers,122300,,85,1,66,23,37,4,155,23,
Fabian Allen,Adelaide Strikers,115700,33,,,,,,,,,
HWR Cartwright,Melbourne Stars,61300,18,15,14,15,27,1,49,2,16,
RP Meredith,Hobart Hurricanes,123200,28,112,1,62,38,,53,88,13,
A Zampa,Melbourne Renegades,114700,8,28,34,43,60,4,87,60,21,
BJ Dwarshuis,Sydney Sixers,143900,71,107,46,102,19,,13,75,67,
LJ Evans,Melbourne Renegades,113900,11,17,44,70,26,49,0,,,
J Merlo,Melbourne Stars,51600,,,,8,3,,,,,
L Pope,Adelaide Strikers,111600,35,95,61,33,0,47,43,44,42,
Ollie Pope,Adelaide Strikers,108100,,18,44,54,1,47,68,6,82,
DP Hughes,Sydney Sixers,131400,0,,,,,,,,,
MR Marsh,Perth Scorchers,137300,,,,,,,0,,,
J Brown,Melbourne Renegades,110100,47,23,12,27,101,6,,14,6,
AJ Hosein,Sydney Sixers,125500,,64,23,40,29,,5,,,
TH David,Hobart Hurricanes,117500,0,0,68,14,97,,103,50,41,
H Kerr,Sydney Sixers,122400,30,,35,69,24,,80,23,42,
M Bryant,Brisbane Heat,165700,61,3,70,2,112,,107,18,4,
AI Ross,Adelaide Strikers,102400,37,55,40,8,30,6,72,79,53,
MG Neser,Brisbane Heat,164200,,,,,,,68,22,9,
T Sangha,Sydney Thunder,124400,66,25,,,,,,,50,
Jafer Chohan,Sydney Sixers,117500,,,,,,,,,10,
JM Clarke,Melbourne Stars,110600,10,42,,,,,,,,
J Edwards,Sydney Sixers,115400,75,65,12,,37,,48,4,60,
